Title,Item Description,Hyperlink
The black cat,1 print : engraving. | Black cat on head of woman.,"<a href=""https://www.loc.gov/item/93509663/"" rel=""http://www.loc.gov/item/93509663/"">
        

        

        
            
                
                    The black cat
                
            
        

        
        
        </a>"
[Mother cat and kittens],"1 print : wood engraving ; 5.2 x 7.2 cm (image), 10.4 x 12.9 cm (sheet) | Print shows a cat with three kittens.","<a href=""https://www.loc.gov/item/2013646722/"" rel=""http://www.loc.gov/item/2013646722/"">
        

        

        
            
                
                    [Mother cat and kittens]
                
            
        

        
        
        </a>"
Cat and kittens,"1 print : chromolithograph ; sheet 31.6 x 22.3 cm. | Print shows a cat with three kittens at a green food or water dish, with a basket of straw in a room where the floor is also strewn with straw.","<a href=""https://www.loc.gov/item/2017650796/"" rel=""http://www.loc.gov/item/2017650796/"">
        

        

        
            
                
                    Cat and kittens
                
            
        

        
        
        </a>"
"The Black Cat, December","1 print : color ; sheet 30 x 24 cm (poster format) | Poster shows a black cat wearing a collar with a ""5 cents"" charm as the cover illustration for The Black Cat for December.","<a href=""https://www.loc.gov/item/2015647209/"" rel=""http://www.loc.gov/item/2015647209/"">
        

        

        
            
                
                    The Black Cat, December
                
            
        

        
        
        </a>"
Treatise on Cats.,"This manuscript containing fine paintings of cats is in the format of a samut khoi (Thai folding book) with 12 folios, which open from top to bottom. It was produced in the 19th century in central Thailand. Folding books were usually made from the bark of mulberry trees; minerals, plant liquids, and occasionally materials imported from China and Europe were used as paints. Sometimes...","<a href=""https://www.loc.gov/item/2021668043/"" rel=""http://www.loc.gov/item/2021668043/"">
        

        

        
            
                
                    Treatise on Cats.
                
            
        

        
        
        </a>"
[Two domestic cats fighting],1 print : lithograph ; 23.2 x 31.5 cm (sheet),"<a href=""https://www.loc.gov/item/2012645546/"" rel=""http://www.loc.gov/item/2012645546/"">
        

        

        
            
                
                    [Two domestic cats fighting]
                
            
        

        
        
        </a>"
[College girl walking cats],1 print : photomechanical ; sheet 92 x 122 cm. or less.,"<a href=""https://www.loc.gov/item/2018757284/"" rel=""http://www.loc.gov/item/2018757284/"">
        

        

        
            
                
                    [College girl walking cats]
                
            
        

        
        
        </a>"
"[Cat, curled up]",1 drawing : charcoal.,"<a href=""https://www.loc.gov/item/2010718354/"" rel=""http://www.loc.gov/item/2010718354/"">
        

        

        
            
                
                    [Cat, curled up]
                
            
        

        
        
        </a>"
Sketches from cat life,1 drawing : pen and ink.,"<a href=""https://www.loc.gov/item/2010718276/"" rel=""http://www.loc.gov/item/2010718276/"">
        

        

        
            
                
                    Sketches from cat life
                
            
        

        
        
        </a>"
Hon[orable Mr] cat,"1 print on white wove tissue paper : woodcut, color ; 21.7 x 9.6 cm. (block), 26.8 x 19.2 cm. (sheet) | Print shows a young Japanese girl carrying a cat, walking in the rain under an umbrella held by an adult.","<a href=""https://www.loc.gov/item/2003675444/"" rel=""http://www.loc.gov/item/2003675444/"">
        

        

        
            
                
                    Hon[orable Mr] cat
                
            
        

        
        
        </a>"
"Cats posed in pots
                
            
        

        
        
        

            Catalog Record - Electronic Resource Available","6 photographic prints on stereo cards : stereograph, albumen ; 9 x 18 cm. | Photographs show a series of humorous photographs of cats posed with props.","<a href=""//lccn.loc.gov/2006678567"" rel=""http://www.loc.gov/item/2006678567/"" target=""_blank"">
        

        

        
            
                
                    Cats posed in pots
                
            
        

        
        
        </a>"
Cats used in experiments,1 photograph : color transparency ; 35mm (slide format),"<a href=""https://www.loc.gov/item/2020736291/"" rel=""http://www.loc.gov/item/2020736291/"">
        

        

        
            
                
                    Cats used in experiments
                
            
        

        
        
        </a>"
Cats used in experiments,1 photograph : color transparency ; 35mm (slide format),"<a href=""https://www.loc.gov/item/2020736862/"" rel=""http://www.loc.gov/item/2020736862/"">
        

        

        
            
                
                    Cats used in experiments
                
            
        

        
        
        </a>"
Cats used in experiments,1 photograph : color transparency ; 35mm (slide format),"<a href=""https://www.loc.gov/item/2020736863/"" rel=""http://www.loc.gov/item/2020736863/"">
        

        

        
            
                
                    Cats used in experiments
                
            
        

        
        
        </a>"
Cats used in experiments,1 photograph : color transparency ; 35mm (slide format),"<a href=""https://www.loc.gov/item/2020736864/"" rel=""http://www.loc.gov/item/2020736864/"">
        

        

        
            
                
                    Cats used in experiments
                
            
        

        
        
        </a>"
"Schermerhorn cat, portrait photograph",1 negative : nitrate ; 4 x 5 in. or smaller.,"<a href=""https://www.loc.gov/item/2018715869/"" rel=""http://www.loc.gov/item/2018715869/"">
        

        

        
            
                
                    Schermerhorn cat, portrait photograph
                
            
        

        
        
        </a>"
